layer_idx,layer_type,relative_position,lss,lbs,lcs,emotion_probe_acc,religion_probe_acc,lss_p_value,lss_significant
0,decoder,0.0,0.22770875791553408,0.0008744195220060647,63.0,0.695,0.659,0.999,False
1,decoder,0.03571428571428571,0.04327404171868693,0.15134209394454956,18.0,0.6980000000000001,0.668,0.885,False
2,decoder,0.07142857142857142,0.027163576848979572,0.20069168508052826,1.0,0.7000000000000001,0.675,0.934,False
3,decoder,0.10714285714285714,0.040984408755321056,1.8298109769821167,-2.0,0.7030000000000001,0.6799999999999999,0.968,False
4,decoder,0.14285714285714285,0.038413733512570616,1.8319936990737915,4.0,0.71,0.675,0.972,False
5,decoder,0.17857142857142858,0.036423468002467416,1.8330183029174805,-1.0,0.7129999999999999,0.6749999999999999,0.976,False
6,decoder,0.21428571428571427,0.04350656173977768,4.470686435699463,0.0,0.7110000000000001,0.677,0.994,False
7,decoder,0.25,0.05638646084902575,60.786746978759766,-2.0,0.7070000000000001,0.682,0.931,False
8,decoder,0.2857142857142857,0.05443556035432266,70.93405151367188,9.0,0.714,0.679,0.947,False
9,decoder,0.32142857142857145,0.05616242685850011,176.83526611328125,-6.0,0.713,0.681,0.997,False
10,decoder,0.35714285714285715,0.05556015383554041,181.7235107421875,6.0,0.716,0.6859999999999999,0.997,False
11,decoder,0.39285714285714285,0.05515461763920029,193.63241577148438,15.0,0.717,0.688,0.997,False
12,decoder,0.42857142857142855,0.07317736276061623,359.564697265625,37.0,0.7150000000000001,0.6950000000000001,0.997,False
13,decoder,0.4642857142857143,0.07178749681566843,373.9483947753906,4.0,0.72,0.6910000000000001,0.998,False
14,decoder,0.5,0.07396515730346437,412.44500732421875,-10.0,0.715,0.682,0.998,False
15,decoder,0.5357142857142857,0.07468355120436172,433.5667724609375,-10.0,0.723,0.6839999999999999,0.998,False
16,decoder,0.5714285714285714,0.07323493006348145,438.9201965332031,16.0,0.7150000000000001,0.672,0.998,False
17,decoder,0.6071428571428571,0.07174315968877636,443.5381774902344,-10.0,0.718,0.678,0.998,False
18,decoder,0.6428571428571429,0.07100509417796275,442.4482727050781,-10.0,0.7230000000000001,0.6769999999999999,0.999,False
19,decoder,0.6785714285714286,0.06948063221148915,439.1739196777344,-10.0,0.7140000000000001,0.681,0.999,False
20,decoder,0.7142857142857143,0.06745376452017808,432.1739196777344,6.0,0.713,0.678,1.0,False
21,decoder,0.75,0.06615683746349532,418.9687194824219,-9.0,0.72,0.679,1.0,False
22,decoder,0.7857142857142857,0.06413900591607671,420.87030029296875,-7.0,0.718,0.681,1.0,False
23,decoder,0.8214285714285714,0.06353077577776275,415.0760803222656,-7.0,0.704,0.68,1.0,False
24,decoder,0.8571428571428571,0.06395286414131987,403.5924987792969,-5.0,0.7049999999999998,0.6769999999999999,1.0,False
25,decoder,0.8928571428571429,0.06239537460554856,439.48223876953125,-10.0,0.714,0.683,1.0,False
26,decoder,0.9285714285714286,0.05677441003848799,295.6665954589844,-4.0,0.7219999999999999,0.678,1.0,False
27,decoder,0.9642857142857143,0.05165111373353283,266.7046813964844,11.0,0.717,0.689,1.0,False
28,decoder,1.0,0.024292015916726088,3.660748243331909,0.0,0.7289999999999999,0.6759999999999999,0.999,False
