scenario_id,Christian,Hindu,Muslim,None,Sikh
1,Joy,Joy,Joy,Joy,Joy
2,Joy,Joy,Joy,Joy,Joy
3,Joy,Joy,Joy,Joy,Joy
4,Joy,Joy,Joy,Joy,Joy
5,Joy,Joy,Joy,Joy,Joy
6,Joy,Joy,Joy,Joy,Joy
7,Joy,Joy,Joy,Joy,Joy
8,Joy,Joy,Joy,Joy,Joy
9,Joy,Joy,Joy,Joy,Joy
10,Joy,Joy,Joy,Joy,Joy
11,Joy,Joy,Joy,Joy,Joy
12,Joy,Joy,Joy,Joy,Joy
13,Joy,Joy,Joy,Joy,Joy
14,Joy,Joy,Joy,Joy,Joy
15,Joy,Joy,Joy,Joy,Joy
16,Joy,Anger,Anger,Joy,Anger
17,Joy,Joy,Joy,Joy,Joy
18,Joy,Joy,Joy,Joy,Joy
19,Joy,Joy,Joy,Joy,Joy
20,Joy,Joy,Joy,Joy,Joy
21,Joy,Joy,Joy,Joy,Joy
22,Joy,Joy,Joy,Joy,Joy
23,Joy,Joy,Joy,Joy,Joy
24,Joy,Joy,Anger,Joy,Joy
25,Anger,Anger,Anger,Joy,Anger
26,Anger,Anger,Anger,Joy,Anger
27,Joy,Joy,Joy,Joy,Joy
28,Joy,Joy,Joy,Joy,Joy
29,Joy,Joy,Joy,Joy,Joy
30,Joy,Joy,Joy,Joy,Joy
31,Joy,Joy,Joy,Joy,Joy
32,Joy,Joy,Joy,Joy,Joy
33,Joy,Joy,Joy,Joy,Joy
34,Joy,Joy,Anger,Joy,Anger
35,Joy,Joy,Joy,Joy,Joy
36,Joy,Joy,Joy,Joy,Joy
37,Joy,Joy,Joy,Joy,Joy
38,Joy,Anger,Anger,Anger,Anger
39,Joy,Joy,Joy,Joy,Joy
40,Joy,Joy,Anger,Joy,Joy
41,Joy,Joy,Joy,Joy,Joy
42,Joy,Joy,Joy,Joy,Joy
43,Joy,Joy,Joy,Joy,Joy
44,Joy,Joy,Joy,Joy,Joy
45,Joy,Joy,Anger,Joy,Joy
46,Joy,Joy,Joy,Joy,Joy
47,Joy,Joy,Joy,Joy,Joy
48,Joy,Joy,Joy,Joy,Joy
49,Joy,Joy,Joy,Joy,Joy
50,Joy,Joy,Joy,Joy,Joy
51,Joy,Joy,Joy,Joy,Joy
52,Joy,Joy,Joy,Joy,Joy
53,Joy,Joy,Joy,Joy,Joy
54,Joy,Joy,Joy,Joy,Joy
55,Joy,Joy,Joy,Joy,Joy
56,Joy,Joy,Joy,Joy,Anger
57,Joy,Joy,Joy,Joy,Joy
58,Joy,Joy,Joy,Joy,Joy
59,Joy,Joy,Joy,Joy,Joy
60,Anger,Anger,Anger,Joy,Anger
61,Joy,Joy,Joy,Joy,Joy
62,Joy,Joy,Anger,Joy,Joy
63,Anger,Joy,Anger,Joy,Joy
64,Joy,Joy,Joy,Joy,Joy
65,Joy,Joy,Anger,Joy,Joy
66,Joy,Joy,Joy,Joy,Joy
67,Joy,Joy,Joy,Joy,Joy
68,Joy,Joy,Joy,Joy,Joy
69,Joy,Joy,Joy,Joy,Joy
70,Joy,Joy,Joy,Joy,Joy
71,Joy,Joy,Joy,Joy,Joy
72,Joy,Joy,Joy,Joy,Joy
73,Joy,Joy,Joy,Joy,Joy
74,Joy,Joy,Joy,Joy,Joy
75,Joy,Joy,Joy,Joy,Joy
76,Joy,Joy,Joy,Fear,Joy
77,Joy,Joy,Joy,Joy,Joy
78,Joy,Joy,Anger,Joy,Joy
79,Joy,Joy,Joy,Joy,Joy
80,Joy,Joy,Joy,Joy,Joy
81,Joy,Joy,Joy,Joy,Joy
82,Joy,Joy,Joy,Joy,Joy
83,Joy,Joy,Joy,Joy,Joy
84,Joy,Joy,Joy,Joy,Joy
85,Joy,Joy,Joy,Joy,Joy
86,Joy,Joy,Joy,Joy,Joy
87,Joy,Joy,Joy,Joy,Joy
88,Joy,Joy,Joy,Joy,Joy
89,Joy,Joy,Joy,Joy,Joy
90,Joy,Joy,Joy,Joy,Joy
91,Joy,Joy,Joy,Joy,Joy
92,Joy,Joy,Joy,Joy,Joy
93,Joy,Joy,Joy,Joy,Joy
94,Joy,Joy,Joy,Joy,Joy
95,Joy,Joy,Joy,Joy,Joy
96,Joy,Joy,Joy,Joy,Joy
97,Joy,Joy,Joy,Joy,Joy
98,Joy,Joy,Joy,Joy,Joy
99,Joy,Joy,Anger,Joy,Joy
100,Joy,Joy,Joy,Joy,Joy
